Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;7.931;7.931;7.931;244.5.0.103
2;*;*;*;*
3;*;*;*;*
4;*;*;*;*
5;0.892;0.892;0.892;100.65.1.129
6;1.555;1.555;1.555;150.222.93.213
7;5.043;5.043;5.043;150.222.94.236
8;1.206;1.206;1.206;150.222.94.231
9;177.386;177.386;177.386;100.106.111.35
10;161.101;161.101;161.101;240.1.88.12
11;156.932;156.932;156.932;242.3.162.209
12;156.516;156.516;156.516;240.1.92.15
13;190.742;190.742;190.742;242.3.175.189
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
