";";;;;
;;;;
Yt;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;6.603;6.603;6.603;41.78.188.57
5;6.293;6.293;6.293;41.78.188.164
6;6.639;6.639;6.639;74.125.51.30 
7;6.917;6.917;6.917;192.178.251.101
8;6.586;6.586;6.586;72.14.238.159 
9;6.351;6.351;6.351;172.217.170.174
;;;;
Fb;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;52.405;52.405;52.405;41.78.188.213
5;*;*;*;*
6;52.208;52.208;52.208;41.78.188.154
7;52.151;52.151;52.151;196.60.9.16
8;52.049;52.049;52.049;129.134.34.220
9;52.034;52.034;52.034;129.134.80.152
10;55.421;55.421;55.421;129.134.84.50
11;51.897;51.897;51.897;102.132.104.35
;;;;
Ig;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;6.619;6.619;6.619;41.78.188.57
5;*;*;*;*
6;6.283;6.283;6.283;41.78.188.239
7;6.434;6.434;6.434;157.240.87.134
8;6.346;6.346;6.346;129.134.97.238
9;6.398;6.398;6.398;163.77.195.96
10;10.156;10.156;10.156;163.77.195.27 
11;6.434;6.434;6.434;57.144.138.34
;;;;
Pin;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;52.516;52.516;52.516;41.78.188.57
5;*;*;*;*
6;*;*;*;*
7;52.301;52.301;52.301;41.78.188.231
8;52.353;52.353;52.353;197.157.64.241
9;55.523;55.523;55.523;151.101.64.84
;;;;
Amz;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;144.160;144.160;144.160;41.78.188.17
5;*;*;*;*
6;155.343;155.343;155.343;41.78.188.148
7;145.382;145.382;145.382;62.157.249.206
8;231.595;231.595;231.595;62.154.5.245
9;231.848;231.848;231.848;62.159.61.87
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;230.972;230.972;230.972;205.251.242.103
;;;;
Gpt;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;159.642;159.642;159.642;41.78.188.17
5;*;*;*;*
6;*;*;*;*
7;158.691;158.691;158.691;41.78.188.151
8;160.320;160.320;160.320;80.81.194.180
9;159.401;159.401;159.401;162.158.84.145
10;*;*;*;172.64.155.209
;;;;
Wh;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;52.353;52.353;52.353;41.78.188.213
5;*;*;*;*
6;52.292;52.292;52.292;41.78.188.132
7;52.734;52.734;52.734;196.60.10.3
8;52.279;52.279;52.279;129.134.39.126
9;52.288;52.288;52.288;129.134.80.152
10;54.412;54.412;54.412;129.134.84.50
11;52.437;52.437;52.437;102.132.104.60
;;;;
Nf;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;162.910;162.910;162.910;41.78.188.57
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;155.934;155.934;155.934;41.78.188.153
9;163.205;163.205;163.205;80.249.210.100
10;163.177;163.177;163.177;52.93.113.185
11;163.060;163.060;163.060;52.93.0.137 
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
;;;;
Ud;;;;
Hop;Time;Time;Time;IP address
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;144.605;144.605;144.605;41.78.188.57
5;*;*;*;*
6;*;*;*;*
7;154.151;154.151;154.151;41.78.188.61
8;154.701;154.701;154.701;149.11.240.201
9;154.923;154.923;154.923;154.54.38.201
10;166.156;166.156;166.156;154.54.39.225
11;227.192;227.192;227.192;154.54.47.137
12;*;*;*;154.54.169.178
13;*;*;*;*
14;312.106;312.106;312.106;154.54.168.230
15;313.503;313.503;313.503;199.100.8.146
16;*;*;*;*
17;307.788;307.788;307.788;190.27.216.18
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
