Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;134.19.161.33
2;1;1;1;134.19.161.234
3;1;1;1;213.161.83.42
4;10;10;10;64.125.23.164
5;10;10;10;64.125.29.129
6;*;*;*;0.0.0.0
7;10;10;10;130.117.51.137
8;153;153;152;154.54.42.85
9;87;87;87;154.54.30.121
10;88;88;88;154.54.163.102
11;97;96;96;154.54.24.222
12;*;*;*;0.0.0.0
13;188;188;188;154.54.88.238
14;164;164;163;199.100.8.146
15;*;*;*;0.0.0.0
16;161;161;160;190.27.216.18
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
