YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;93.93.202.1
2;1;1;1;80.64.177.95
3;1;1;1;109.104.59.104
4;1;1;1;109.104.59.143
5;1;1;1;109.104.59.177
6;6;6;6;109.104.58.198
7;6;6;5;74.125.32.62
8;7;6;6;192.178.109.155
9;6;6;6;192.178.109.126
10;6;6;6;209.85.255.205
11;16;16;16;192.178.75.102
12;26;27;26;192.178.83.128
13;25;25;25;192.178.99.169
14;26;26;25;142.250.238.1
15;24;24;24;142.250.75.14
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
