Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;51.159.31.1
2;1;1;1;51.158.3.70
3;1;1;1;51.158.53.78
4;*;*;*;0.0.0.0
5;1;1;1;154.54.39.234
6;72;72;72;154.54.27.169
7;72;72;72;154.54.0.142
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;78;78;78;52.94.236.248
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
